Time SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
9.000000e+01 0.000000e+00 1.085928e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.100000e+01 0.000000e+00 1.085974e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.200000e+01 0.000000e+00 1.086019e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.300000e+01 0.000000e+00 1.086065e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.400000e+01 0.000000e+00 1.086111e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.500000e+01 0.000000e+00 1.086157e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.600000e+01 0.000000e+00 1.086202e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.700000e+01 0.000000e+00 1.086247e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.800000e+01 0.000000e+00 1.086292e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.900000e+01 0.000000e+00 1.086338e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.950000e+01 0.000000e+00 1.086383e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
